Date,Minimum_temperature,Maximum_temperature,Evaporation,Sunshine,Speed_of_maximum_wind_gust,Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity,9am_cloud_amount,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_relative_humidity,3pm_cloud_amount,3pm_wind_speed,3pm_MSL_pressure,Rainfall,Rain_today,Rain_Tomorrow,Rainfall_Tomorrow,Month
2/1/2019,8.6,20.6,4.8,13.1,35,54060,14.3,51,2,26,1024.9,18.8,39,4,26,1023.8,1.4,Yes,No,0,February
2/2/2019,9.5,27.4,6.4,12.5,46,58500,16,68,1,19,1021.4,26,37,2,19,1014.5,0,No,No,0,February
2/3/2019,12.8,28.7,7.4,11.6,48,47520,21.7,67,0,33,1007.4,24.2,53,1,33,1005.9,0,No,No,0.4,February
2/4/2019,15.2,22.9,7.6,10.8,41,51540,16.8,79,7,30,1014.1,20.6,56,1,30,1014.1,0.4,Yes,No,0,February
2/5/2019,13.1,17.6,8.6,0,33,25200,13.5,82,8,15,1024.2,16,61,8,15,1024.8,0,No,No,0.6,February
2/6/2019,13,24.6,1.6,6.4,43,52620,17.5,67,7,30,1023.7,24,44,6,30,1020.2,0.6,Yes,Yes,14,February
2/7/2019,17.5,29.3,7,7.4,52,52560,20.5,86,8,31,1009.4,28.5,41,4,31,1003.3,14,Yes,Yes,8.6,February
2/8/2019,16.7,23.3,5.4,10.9,52,36600,21,61,4,30,1000,22.4,30,3,30,998.5,8.6,Yes,No,0,February
2/9/2019,11.8,17.6,8.2,5.5,50,50700,14.2,64,8,17,990.8,15.3,57,7,17,994.2,0,No,No,0.8,February
2/10/2019,11.9,25.3,3.8,10.1,50,54420,16.6,53,2,20,1001,22.4,47,7,20,1000.4,0.8,Yes,No,0,February
2/11/2019,16.3,27.3,6.4,6,57,49020,20.6,61,2,15,996.9,22.1,64,7,15,993.1,0,No,Yes,6.4,February
2/12/2019,15.7,17.2,6.4,8.3,74,56220,15.8,87,7,37,979.3,16.3,35,3,37,985,6.4,Yes,Yes,7.4,February
2/13/2019,7.9,18.3,6.4,11.7,54,56760,10.5,57,1,30,1001.8,17.5,31,3,30,1004.4,7.4,Yes,No,0,February
2/14/2019,10.5,22.1,7,6.3,59,42000,16.3,52,5,28,1007.5,20,47,7,28,1010.8,0,No,No,0,February
2/15/2019,14,21.7,5.6,7.1,43,5880,16.7,56,7,19,1022.4,20.2,48,6,19,1023,0,No,No,0,February
2/16/2019,14.5,24.7,4.2,9.3,48,55080,18.5,64,7,20,1019.9,23.7,52,6,20,1014.5,0,No,Yes,1.8,February
2/17/2019,14.2,26,5.6,6.8,41,58620,16.2,86,7,13,1010.8,22.1,54,7,13,1006.3,1.8,Yes,No,0,February
2/18/2019,15.9,25.1,4.4,11.7,63,45960,21.2,62,7,39,999.6,22.9,25,1,39,997.8,0,No,No,0,February
2/19/2019,12.3,21.1,7.8,11,59,41940,15,41,2,30,1004.5,19.8,31,2,30,1006.7,0,No,No,0,February
2/20/2019,12.2,21.9,8.4,9.3,50,44160,16.8,50,2,22,1006.3,19.9,36,6,22,1005.9,0,No,No,0,February
2/21/2019,12,19.4,7.2,4.9,43,31140,14.5,51,6,11,1012.1,18,51,7,11,1015,0,No,No,0.4,February
2/22/2019,11.1,22,3.4,7.3,30,6480,15.6,56,6,15,1022.2,20.9,43,5,15,1021.1,0.4,Yes,No,0,February
2/23/2019,12.9,17.4,4,11.1,37,23700,14.6,54,4,22,1029,16.1,48,1,22,1029.9,0,No,No,0,February
2/24/2019,7.3,26.1,3.8,12.1,37,81480,13,66,0,24,1030.7,22.7,46,0,24,1027.8,0,No,No,0,February
2/25/2019,12.8,32.2,9.6,10.6,67,52800,19.1,43,0,17,1023.5,31,22,1,17,1018,0,No,Yes,1.2,February
2/26/2019,13,18.5,7.2,5,41,52560,13.2,87,7,26,1021.4,16.8,57,6,26,1021.3,1.2,Yes,No,0,February
2/27/2019,7.3,21.1,4.2,12.1,31,37860,11.2,62,1,20,1027.3,20,40,1,20,1024.8,0,No,No,0,February
2/28/2019,11,24.5,3.8,5.7,28,51660,16.2,65,7,19,1024.3,21.9,45,6,19,1021.3,0,No,No,0,February
3/1/2019,12,29.9,4.4,11.5,35,61260,18.9,78,1,19,1020.8,29.4,48,1,19,1017.6,0,No,No,0,March
3/2/2019,18.9,38.1,7,12,56,51780,26.1,33,1,31,1018,37.5,11,1,31,1014.5,0,No,No,0,March
3/3/2019,16.6,28.7,14,1.2,50,59400,17.9,89,7,7,1016.2,20.2,80,7,7,1012.6,0,No,No,0.8,March
3/4/2019,10.6,26.6,2,8.8,35,53460,15.5,56,7,26,1017,22.6,38,7,26,1014.5,0.8,Yes,No,0,March
3/5/2019,11.5,23,5.4,6.8,52,81540,14.5,82,7,20,1011.1,21.7,55,7,20,1004.2,0,No,Yes,1.6,March
3/6/2019,9.8,15.8,4.6,6.3,61,47400,13.7,50,6,7,1005.6,9.9,78,7,7,1009.6,1.6,Yes,Yes,2.8,March
3/7/2019,7.2,20.9,3.4,10.5,46,53880,11.4,60,7,24,1019.9,18.5,38,7,24,1017.4,2.8,Yes,No,0,March
3/8/2019,11.4,23.9,7.6,4.1,52,6480,17,43,7,19,1012.8,22.4,35,7,19,1013.4,0,No,Yes,2.8,March
3/9/2019,10.9,16.9,4.2,0.4,24,57960,12,96,8,13,1022.2,15.9,80,7,13,1020.8,2.8,Yes,Yes,1.6,March
