Date,Minimum_temperature,Maximum_temperature,Evaporation,Speed_of_maximum_wind_gust,9am_Temperature,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_wind_speed,3pm_MSL_pressure,Rain_today,Rain_Tomorrow,Rainfall_Tomorrow,Month
2/1/2019,8.6,20.6,4.8,35,14.3,26,1024.9,18.8,26,1023.8,Yes,No,0,February
2/2/2019,9.5,27.4,6.4,46,16,19,1021.4,26,19,1014.5,No,No,0,February
2/3/2019,12.8,28.7,7.4,48,21.7,33,1007.4,24.2,33,1005.9,No,No,0.4,February
2/4/2019,15.2,22.9,7.6,41,16.8,30,1014.1,20.6,30,1014.1,Yes,No,0,February
2/5/2019,13.1,17.6,8.6,33,13.5,15,1024.2,16,15,1024.8,No,No,0.6,February
2/6/2019,13,24.6,1.6,43,17.5,30,1023.7,24,30,1020.2,Yes,Yes,14,February
2/7/2019,17.5,29.3,7,52,20.5,31,1009.4,28.5,31,1003.3,Yes,Yes,8.6,February
2/8/2019,16.7,23.3,5.4,52,21,30,1000,22.4,30,998.5,Yes,No,0,February
2/9/2019,11.8,17.6,8.2,50,14.2,17,990.8,15.3,17,994.2,No,No,0.8,February
2/10/2019,11.9,25.3,3.8,50,16.6,20,1001,22.4,20,1000.4,Yes,No,0,February
2/11/2019,16.3,27.3,6.4,57,20.6,15,996.9,22.1,15,993.1,No,Yes,6.4,February
2/12/2019,15.7,17.2,6.4,74,15.8,37,979.3,16.3,37,985,Yes,Yes,7.4,February
2/13/2019,7.9,18.3,6.4,54,10.5,30,1001.8,17.5,30,1004.4,Yes,No,0,February
2/14/2019,10.5,22.1,7,59,16.3,28,1007.5,20,28,1010.8,No,No,0,February
2/15/2019,14,21.7,5.6,43,16.7,19,1022.4,20.2,19,1023,No,No,0,February
2/16/2019,14.5,24.7,4.2,48,18.5,20,1019.9,23.7,20,1014.5,No,Yes,1.8,February
2/17/2019,14.2,26,5.6,41,16.2,13,1010.8,22.1,13,1006.3,Yes,No,0,February
2/18/2019,15.9,25.1,4.4,63,21.2,39,999.6,22.9,39,997.8,No,No,0,February
2/19/2019,12.3,21.1,7.8,59,15,30,1004.5,19.8,30,1006.7,No,No,0,February
2/20/2019,12.2,21.9,8.4,50,16.8,22,1006.3,19.9,22,1005.9,No,No,0,February
2/21/2019,12,19.4,7.2,43,14.5,11,1012.1,18,11,1015,No,No,0.4,February
2/22/2019,11.1,22,3.4,30,15.6,15,1022.2,20.9,15,1021.1,Yes,No,0,February
