Date,Minimum_temperature,Maximum_temperature,Rainfall,Evaporation,Sunshine,Speed_of_maximum_wind_gust,Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity,9am_cloud_amount,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_relative_humidity,3pm_cloud_amount,3pm_wind_speed,3pm_MSL_pressure,Rain_Tomorrow
1/2/20,19.9,20.3,2.6,11.2,2.5,39,0.3298611111,20.1,80,7,31,1000,18.6,66,6,30,1003.1,0
2/2/20,11.3,22.5,0.2,5.6,11.8,67,0.5736111111,17.4,43,1,33,1000.9,19.4,40,6,44,998,0
3/2/20,9.1,16,0.6,7.8,8.9,69,0.4916666667,10.8,52,5,30,1003.8,13.7,38,3,30,1009.3,1
4/2/20,7,21.2,1.4,5.6,12,37,0.4569444444,12.7,50,1,20,1020.8,20.5,27,3,20,1019,0
5/2/20,10.6,19.1,0,7,11.1,46,0.5118055556,15.4,52,3,11,1021.2,15.6,60,4,35,1021.7,0
6/2/20,13.2,23.3,0,5.4,8.7,33,0.5701388889,15.7,63,7,11,1026.8,21.9,46,1,24,1024.5,0
7/2/20,14.9,18.3,0,6.6,0,31,0.5444444444,15.8,74,8,15,1028.6,17.4,65,8,22,1028.8,0
8/2/20,13.5,19.2,0,3.2,0.7,41,0.5902777778,15,70,7,6,1034,18.2,58,7,20,1032,0
9/2/20,13.4,21.9,0,3.2,5.2,39,0.7194444444,16.2,60,7,9,1031.2,19.8,43,6,19,1028.3,0
10/2/20,15,20.7,0,5.8,0.1,35,0.575,17.2,63,7,7,1024.1,20.2,59,7,22,1021,1
11/2/20,16.9,22,1.2,2,2.2,24,0.6284722222,17.3,91,8,13,1013.1,21,76,7,11,1010.8,0
12/2/20,15.9,18.2,0.6,2,0,35,0.375,16.4,85,8,17,1018.9,17.6,69,7,24,1020.1,0
13/2/20,13.7,21.4,0,3.6,4.1,33,0.6298611111,14.6,75,8,7,1022.4,20.2,53,7,19,1019.3,0
14/2/20,14.5,28.6,0,3.6,3.7,37,0.9402777778,17.2,83,7,9,1013.2,26.7,54,7,11,1007.2,0
15/2/20,14.8,18.7,1,4.8,5.8,56,0.44375,14.9,82,7,33,1011.7,17,57,5,37,1014.2,0
16/2/20,11.8,18.3,0.2,5.6,12.1,37,0.9673611111,14.7,54,2,22,1022.7,17.4,47,1,28,1022.5,0
17/2/20,8.6,19.9,0,6,10.7,35,0.5576388889,10.6,66,7,17,1020.5,18.7,38,1,28,1015.7,0
18/2/20,7.8,21.2,0,7,8.5,33,0.5611111111,13.4,64,1,11,1011.1,19.3,51,7,28,1008,0
19/2/20,13.1,16.8,0,5.2,7.1,54,0.5513888889,13.6,54,8,31,1009.8,15.4,51,7,35,1010,0
20/2/20,12,20.2,0,5.2,6.2,46,0.5590277778,13.7,71,7,24,1012,17.6,45,5,30,1010.2,0
21/2/20,10.3,18.4,0,5.2,10.4,52,0.3659722222,13.6,46,5,22,1016.7,16.2,38,3,19,1019,0
22/2/20,6.8,21.8,0.2,5,12.4,39,0.6770833333,13.2,54,4,13,1024.6,20.6,31,1,26,1021.9,0
23/2/20,10.5,23.2,0,5.6,12.8,41,0.6805555556,14.3,68,1,9,1022.3,20.3,48,2,28,1016.3,0
24/2/20,11.9,21.9,0,4,2.7,30,0.61875,15,77,7,7,1019.6,19.9,61,7,20,1017.8,0
25/2/20,11.2,30.1,0,5.6,11.8,54,0.9138888889,17.5,71,1,19,1010.4,25.6,37,5,17,1002.5,1
26/2/20,9.6,16.6,6,7.6,6.3,57,0.2333333333,10,80,8,22,1000.2,14.9,49,3,24,1001.9,1
27/2/20,9.8,20.5,1.8,5,3.3,78,0.5722222222,14.2,55,7,22,998.6,19.8,34,7,48,995.3,0
28/2/20,7.5,20.3,0,5,10.9,52,0.6236111111,13.9,43,5,17,1007.2,19.8,30,5,30,1007.8,0
29/2/20,13.3,27.9,0,7.4,12.2,59,0.2875,18.7,43,5,30,1008.8,26.6,18,2,20,1007.7,0
1/1/20,11.4,24.7,0,7.8,10.4,54,0.3631944444,16.4,38,3,30,1011,23.1,29,7,28,1009.3,0
2/1/20,15.9,24.3,0,9.6,10.4,54,0.40625,18.6,41,6,17,1015.3,21.3,46,6,31,1014.8,0
3/1/20,14.7,22.1,0,7,7.1,31,0.6222222222,16.7,68,7,11,1016.8,21.4,53,7,24,1011.9,0
4/1/20,15.3,28.6,0,6.8,3.5,67,0.5354166667,20.6,46,6,15,1001.9,22.7,23,6,35,1005.5,0
5/1/20,10.7,22.1,0,6.4,9.7,37,0.3819444444,14.4,41,7,17,1021.1,20.6,33,3,19,1020,0
6/1/20,9.4,22.2,0,6.8,11.2,39,0.5631944444,15.4,49,3,7,1023.1,20.4,51,1,30,1019.5,0
7/1/20,13.2,19.9,0,7.8,6.8,35,0.46875,17.5,75,7,13,1018.9,17.2,67,8,26,1018.3,0
8/1/20,9.7,23.5,0,4.6,11.4,48,0.56875,17.4,65,1,6,1020.2,21.5,46,2,33,1019.1,0
9/1/20,11.6,31.6,0,7.2,10.5,48,0.9395833333,18.6,63,2,11,1020.2,28,38,3,20,1014.5,0
10/1/20,18.4,29.6,0,11.4,0.9,67,0.8451388889,22.6,59,7,24,999.4,18.7,85,8,9,996.5,1
11/1/20,12.6,20.4,1.2,5.6,8.2,61,0.5868055556,14.7,38,3,19,1006.5,18.5,29,7,33,1008.6,0
12/1/20,12.2,22.4,0.2,6.6,11.4,46,0.4631944444,16.6,38,2,17,1018.1,19.2,45,1,24,1017.9,0
13/1/20,10.8,31.3,0,7.6,13.8,74,0.6770833333,20.4,36,1,20,1018.3,30.3,18,2,22,1013,0
14/1/20,14,25.1,0,9.2,9.4,37,0.7444444444,17,68,7,9,1020.9,23.5,47,1,19,1017.8,0
15/1/20,15.5,30,0,5,7.9,39,0.4840277778,22.2,57,5,20,1013,29.6,39,1,24,1007.1,1
16/1/20,12,15.7,2.2,8.6,0.6,52,0.3243055556,12.1,88,8,33,1009.4,15.1,59,7,30,1011.6,1
17/1/20,9.9,16.5,2.2,3.8,7.6,39,0.5986111111,12.5,52,6,17,1019,15.4,41,3,28,1019.1,0
18/1/20,11,19.8,0,5,9.4,43,0.6784722222,13.4,46,7,9,1020.2,18.8,38,1,22,1015.7,0
19/1/20,11.1,22.2,0,6.2,8.9,37,0.5076388889,15.4,61,6,11,1013.9,21.4,47,7,28,1011.5,0
20/1/20,12.5,18.1,0,5.8,1.2,43,0.7840277778,15.7,66,7,11,1011.7,17.2,62,7,26,1008.3,0
21/1/20,13.1,19.7,0,4,7.4,44,0.6076388889,14.6,68,7,15,1007.2,17.7,55,1,33,1005.2,0
22/1/20,11.6,30.7,0,6.8,7.1,72,0.7458333333,19.4,38,6,19,1002.8,29.1,25,7,39,997,1
