Rainfall,MinTemp,MaxTemp,SpeedWind,Wind_E,Wind_W,Wind_S,Wind_N,Wind_ENE,Wind_ESE,Wind_NE,Wind_NNW,Wind_NW,Wind_NNE,Wind_SE,Wind_SSE,Wind_SSW,Wind_SW,Wind_WNW,Wind_WSW,9amTemp,9amHumidity,9amCloud,9am_Wind_E,9am_Wind_W,9am_Wind_S,9am_Wind_N,9am_Wind_ENE,9am_Wind_ESE,9am_Wind_NE,9am_Wind_NNW,9am_Wind_NW,9am_Wind_NNE,9am_Wind_SE,9am_Wind_SSE,9am_Wind_SSW,9am_Wind_SW,9am_Wind_WNW,9am_Wind_WSW,9amWindSpeed,9amPressure,3pmTemp,3pmHumidity,3pmCloud,3pm_Wind_E,3pm_Wind_W,3pm_Wind_S,3pm_Wind_N,3pm_Wind_ENE,3pm_Wind_ESE,3pm_Wind_NE,3pm_Wind_NNW,3pm_Wind_NW,3pm_Wind_NNE,3pm_Wind_SE,3pm_Wind_SSE,3pm_Wind_SSW,3pm_Wind_SW,3pm_Wind_WNW,3pm_Wind_WSW,3pmWindSpeed,3pmPressure
60.4,15.4,27.6,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.2,100,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1008.6,25.9,57,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1006.5
45.2,13.3,16.4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.8,98,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1002,13.9,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1002.1
37.6,15.1,19.6,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.2,97,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,1009.8,17.7,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006.8
32,0.8,11.3,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.6,82,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1024.3,9.5,70,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,1024.8
32,17.8,27,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,70,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1015.9,25.1,60,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1014.6
22,17.3,25.5,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.5,98,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1008.3,25,61,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1009
20.8,15.2,20.4,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.8,99,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1019.1,18.9,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1015.8
15.8,12.7,25.5,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.8,76,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,1011.7,24.4,56,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1011.4
12.8,14.5,19,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.2,99,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1018.7,17.9,95,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015.1
12.4,11.5,22.6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.3,71,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1014.2,20.4,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,1012.7
